grp.10  grp.11  grp.12  grp.13  grp.14  grp.15
1.563E+22       1.399E+22       9.309E+21       6.327E+21       6.176E+21       1.457E+22
1.563E+22       1.399E+22       9.309E+21       6.327E+21       6.176E+21       1.458E+22
1.563E+22       1.399E+22       9.308E+21       6.327E+21       6.176E+21       1.457E+22
1.563E+22       1.399E+22       9.309E+21       6.327E+21       6.176E+21       1.458E+22
1.563E+22       1.399E+22       9.308E+21       6.327E+21       6.176E+21       1.457E+22
1.563E+22       1.399E+22       9.309E+21       6.327E+21       6.177E+21       1.458E+22
1.563E+22       1.399E+22       9.308E+21       6.327E+21       6.175E+21       1.457E+22
1.563E+22       1.399E+22       9.309E+21       6.327E+21       6.177E+21       1.458E+22
1.563E+22       1.398E+22       9.308E+21       6.326E+21       6.175E+21       1.457E+22
1.563E+22       1.399E+22       9.309E+21       6.328E+21       6.177E+21       1.458E+22
1.562E+22       1.398E+22       9.307E+21       6.326E+21       6.174E+21       1.457E+22
1.562E+22       1.398E+22       9.308E+21       6.327E+21       6.177E+21       1.458E+22
1.562E+22       1.398E+22       9.304E+21       6.323E+21       6.171E+21       1.455E+22
1.561E+22       1.397E+22       9.299E+21       6.321E+21       6.172E+21       1.458E+22
1.558E+22       1.394E+22       9.278E+21       6.304E+21       6.151E+21       1.449E+22
1.551E+22       1.387E+22       9.227E+21       6.271E+21       6.122E+21       1.448E+22
1.526E+22       1.363E+22       9.058E+21       6.144E+21       5.983E+21       1.398E+22
1.453E+22       1.291E+22       8.536E+21       5.776E+21       5.622E+21       1.355E+22
1.231E+22       1.081E+22       7.105E+21       4.771E+21       4.596E+21       9.438E+21
8.035E+21       7.262E+21       4.864E+21       3.370E+21       3.409E+21       1.717E+22
3.769E+21       3.925E+21       2.774E+21       2.171E+21       2.602E+21       6.744E+22
1.287E+21       1.492E+21       1.126E+21       9.475E+20       1.249E+21       7.987E+22
3.642E+20       3.891E+20       2.924E+20       2.393E+20       3.069E+20       4.229E+22
1.692E+20       1.860E+20       1.319E+20       1.075E+20       1.367E+20       1.770E+22
8.370E+19       8.978E+19       6.652E+19       5.357E+19       6.739E+19       5.666E+21
6.729E+19       7.357E+19       4.629E+19       4.190E+19       5.253E+19       1.178E+21
5.459E+19       5.674E+19       3.568E+19       3.093E+19       3.742E+19       4.189E+20
4.874E+19       4.991E+19       3.237E+19       2.684E+19       3.184E+19       2.439E+20
4.117E+19       4.177E+19       2.766E+19       2.242E+19       2.634E+19       1.636E+20
3.487E+19       3.558E+19       2.434E+19       1.942E+19       2.307E+19       2.031E+20
2.954E+19       3.055E+19       2.143E+19       1.701E+19       2.075E+19       3.656E+20
2.541E+19       2.667E+19       1.892E+19       1.505E+19       1.864E+19       5.308E+20
2.095E+19       2.226E+19       1.595E+19       1.277E+19       1.592E+19       6.023E+20
1.700E+19       1.829E+19       1.322E+19       1.065E+19       1.337E+19       6.212E+20
1.359E+19       1.473E+19       1.071E+19       8.684E+18       1.096E+19       5.994E+20
1.087E+19       1.184E+19       8.653E+18       7.037E+18       8.922E+18       5.579E+20
8.681E+18       9.470E+18       6.937E+18       5.655E+18       7.188E+18       5.035E+20
6.980E+18       7.620E+18       5.586E+18       4.557E+18       5.803E+18       4.466E+20
5.628E+18       6.136E+18       4.497E+18       3.670E+18       4.674E+18       3.896E+20
